date_local,tweets_total,retweets_total,tweet_ratio,avg_tweets_per_hour,active_hours_count,mean_intertweet_gap,std_intertweet_gap,min_gap,max_gap,burst_count,max_burst_length,burstiness,avg_tweet_length,morning_tweets,afternoon_tweets,evening_tweets,night_tweets,tweet_entropy,time_of_first_tweet_sin,time_of_first_tweet_cos,time_of_last_tweet_sin,time_of_last_tweet_cos,7d_avg_tweets,7d_var_tweets
2024-04-19,12.0,3.0,0.75,0.5,6.0,125.88030303030301,221.9344124401637,1.4,740.9333333333333,9.0,4.0,0.2761645932085836,102.66666666666667,0.0,10.0,1.0,1.0,1.349792396172401,0.21317248953972065,0.9770145800874405,-0.026540432230081443,0.9996477406852078,11.5,0.25
2024-04-20,25.0,7.0,0.72,1.0416666666666667,9.0,54.31388888888889,81.16242825841566,0.95,298.3333333333333,12.0,6.0,0.1981788399247237,82.68,1.0,7.0,3.0,14.0,1.949738932774583,0.016652580199915334,0.9998613361725142,-0.5470154452898162,0.83712251350348,16.0,40.666666666666664
2024-04-21,7.0,4.0,0.42857142857142855,0.2916666666666667,5.0,97.59166666666665,88.80436819315356,3.966666666666667,264.46666666666664,6.0,2.0,-0.047143162031969235,104.57142857142857,3.0,3.0,1.0,0.0,1.5498260458782016,0.3658921913947948,-0.9306572431761947,-0.8199021520766907,0.5725036777349218,13.75,45.6875
2024-04-22,20.0,8.0,0.6,0.8333333333333334,12.0,74.8438596491228,100.80582504439357,1.9166666666666667,409.8666666666667,16.0,3.0,0.1478053629334473,104.35,3.0,2.0,10.0,5.0,2.3195749966735857,0.02530457286552966,0.9996797880281931,-0.05306216623122021,0.9985912109140809,15.0,42.8
2024-04-23,20.0,10.0,0.5,0.8333333333333334,8.0,61.492982456140346,130.63970198366118,2.0166666666666666,557.45,15.0,5.0,0.35989045658280855,77.85,6.0,10.0,2.0,2.0,1.9206765920171578,0.10893916438091437,0.9940484185712425,-0.8800978284951514,0.47479238860592443,15.833333333333334,39.13888888888889
2024-04-24,5.0,3.0,0.4,0.20833333333333334,5.0,193.50416666666666,193.71181465108592,19.183333333333334,514.4666666666667,5.0,1.0,0.0005362588179149964,114.8,0.0,1.0,0.0,4.0,1.6094379124341005,0.18123437081186902,0.9834399335172566,-0.4058728077372588,-0.913929572745884,14.285714285714286,47.91836734693878
2024-04-25,8.0,2.0,0.75,0.3333333333333333,7.0,159.71190476190478,187.06726566154265,28.683333333333334,570.7833333333333,8.0,1.0,0.07888409464223184,128.75,2.0,1.0,3.0,2.0,1.9061547465398496,0.28157397049852406,0.9595395245312703,-0.8999386178498898,0.4360166098928228,13.857142857142858,51.83673469387755
2024-04-26,14.0,5.0,0.6428571428571429,0.5833333333333334,9.0,81.84230769230768,127.1602020763983,0.65,490.1333333333333,11.0,2.0,0.21682942675780292,107.78571428571429,1.0,4.0,5.0,4.0,2.106577333232116,0.33969566344627644,0.940535409347141,-0.9619998771253561,0.2730498789796468,14.142857142857142,51.26530612244898
2024-04-27,13.0,3.0,0.7692307692307693,0.5416666666666666,6.0,40.98472222222222,54.33875333324946,0.95,205.3,9.0,4.0,0.14009173535910488,104.38461538461539,0.0,4.0,9.0,0.0,1.5857708352080966,-0.7957378174433829,-0.6056412518070754,-0.07534130860827756,0.9971578045711683,12.428571428571429,31.673469387755112
2024-04-28,12.0,6.0,0.5,0.5,5.0,118.7636363636364,153.0882515694625,0.05,433.06666666666666,8.0,3.0,0.12626219176477885,91.33333333333333,3.0,1.0,4.0,4.0,1.4735023850806486,0.1821640206956537,0.9832681575053641,-0.3891909396043259,0.9211571052377016,13.142857142857142,26.9795918367347
2024-04-29,15.0,5.0,0.6666666666666666,0.625,7.0,47.227380952380955,90.63032241779398,1.25,366.48333333333335,13.0,2.0,0.3148387098025826,93.2,1.0,12.0,2.0,0.0,1.898926789336329,0.1511889345433092,-0.9885048841921111,-0.39714789063478034,0.9177546256839813,12.428571428571429,20.244897959183678
2024-04-30,6.0,2.0,0.6666666666666666,0.25,3.0,157.72,279.1140982147305,2.783333333333333,714.7,5.0,2.0,0.27789519799587153,102.0,0.0,2.0,0.0,4.0,1.0114042647073518,0.7757711489673282,0.6310143615084456,-0.9273472192616116,-0.37420199749300714,10.428571428571429,13.959183673469402
2024-05-02,16.0,7.0,0.5625,0.6666666666666666,10.0,94.28777777777778,142.1180834620056,0.5333333333333333,555.25,12.0,4.0,0.20232284188467797,100.25,1.0,6.0,7.0,2.0,2.0636495704788542,0.07229531671883441,0.9973832699521902,-0.039695807924574916,0.9992118107954966,12.0,11.714285714285722
2024-05-03,8.0,5.0,0.375,0.3333333333333333,7.0,176.35476190476192,119.55729174362513,7.566666666666666,360.55,7.0,2.0,-0.1919403737051736,97.25,1.0,3.0,3.0,1.0,1.9061547465398496,0.43529657125007093,0.9002871181228419,-0.4316922090107706,0.9020209735252286,12.0,11.714285714285722
2024-05-04,18.0,7.0,0.6111111111111112,0.75,11.0,76.82156862745099,117.19765812823235,0.05,458.35,11.0,4.0,0.20810354816857674,108.16666666666667,3.0,10.0,2.0,3.0,2.2931186014868135,0.4987398887026634,0.8667517080553432,-0.06264536176207376,0.9980358503829905,12.571428571428571,15.959183673469395
