date,time,char_count,is_RT,time_sin,time_cos,day_tweet_count,day_tweet_index,retweets_total,tweet_ratio,avg_tweets_per_hour,active_hours_count,mean_intertweet_gap,std_intertweet_gap,min_gap,max_gap,burst_count,max_burst_length,burstiness,avg_tweet_length,tweet_entropy,7d_avg_tweets,7d_var_tweets
2024-04-18,6:41:57 PM EDT,23,0,-0.9832946417880813,0.18202100821292258,11,1,0,0.0,0.053478318998172826,1,0.0,0.0,0.0,0.0,1,1,0.0,23.0,0.0,1.2834796559561479,0.0
2024-04-18,6:43:32 PM EDT,81,0,-0.9820136767856618,0.18880979478275425,11,2,0,0.0,0.10680590992701597,1,1.5833333333333333,0.0,1.5833333333333333,1.5833333333333333,1,2,-1.0,52.0,0.0,2.563341838248383,0.0
2024-04-18,6:58:08 PM EDT,125,0,-0.9680018113631346,0.25094320711605317,11,3,0,0.0,0.15815370196813497,1,8.091666666666667,6.508333333333334,1.5833333333333333,14.6,2,2,-0.10844748858447485,76.33333333333333,0.0,3.795688847235239,0.0
2024-04-18,7:13:47 PM EDT,47,0,-0.9486232069716667,0.31640798219196437,11,4,0,0.0,0.2080113250610311,2,10.61111111111111,6.397979040483732,1.5833333333333333,15.65,3,2,-0.2476988500312192,69.0,0.5623351446188083,4.992271801464746,0.0
2024-04-18,7:22:19 PM EDT,44,0,-0.936187407090354,0.351501264301339,11,5,0,0.0,0.25810522089505156,2,10.091666666666667,5.613383065892123,1.5833333333333333,15.65,3,2,-0.28514927854640465,64.0,0.6730116670092565,6.194525301481237,0.0
2024-04-18,8:18:52 PM EDT,108,1,-0.8219784095490227,0.5695186513497685,11,6,1,0.16666666666666666,0.29535634195700927,3,19.383333333333333,19.249632031115123,1.5833333333333333,56.55,4,2,-0.0034608086890799993,71.33333333333333,1.0114042647073516,7.088552206968221,0.0
2024-04-18,8:19:17 PM EDT,140,1,-0.8209416375460088,0.5710121082282561,11,7,2,0.2857142857142857,0.34446464453162373,3,16.22222222222222,18.94078654812752,0.4166666666666667,56.55,4,2,0.07731318851752111,81.14285714285714,1.0789922078775833,8.267151468758971,0.0
2024-04-18,11:15:04 PM EDT,109,1,-0.1948050148929739,0.9808419883816905,11,8,3,0.375,0.3440695785147663,4,39.016666666666666,58.523696869200734,0.4166666666666667,175.78333333333333,5,2,0.19998931206936676,84.625,1.3208883431493221,8.257669884354392,0.0
2024-04-18,11:15:19 PM EDT,23,0,-0.19373496657108843,0.9810539040887097,11,9,3,0.3333333333333333,0.38700892270571796,4,34.170833333333334,56.2251715265898,0.25,175.78333333333333,5,2,0.24397470029158563,77.77777777777777,1.3689223607402192,9.28821414493723,0.0
2024-04-18,11:16:01 PM EDT,47,0,-0.19073760892881902,0.9816410568737011,11,10,3,0.3,0.429794295674598,4,30.451851851851853,54.04317058328556,0.25,175.78333333333333,5,3,0.27920365071852105,74.7,1.366158847569202,10.315063096190352,0.0
2024-04-18,11:51:07 PM EDT,89,0,-0.038751148791516615,0.9992488921521694,11,11,3,0.2727272727272727,0.46117833393503904,4,30.916666666666668,51.288812945254776,0.25,175.78333333333333,6,3,0.24781980927258937,76.0,1.3421131789144003,11.068280014440937,0.0
2024-04-19,12:49:14 AM EDT,76,0,0.2131724895397206,0.9770145800874405,12,1,0,0.0,1.2186865267433988,1,0.0,0.0,0.0,0.0,1,1,0.0,76.0,0.0,11.603285807014796,10.64509319271854
2024-04-19,1:10:10 PM EDT,138,1,-0.30139928246750375,-0.9534980191526744,12,2,1,0.5,0.15186669479012865,2,740.9333333333333,0.0,740.9333333333333,740.9333333333333,2,1,-1.0,107.0,0.6931471805599453,8.393991480457364,12.376431700051633
2024-04-19,2:10:01 PM EDT,163,0,-0.5373609400827353,-0.8433523700526364,12,3,1,0.3333333333333333,0.21176055371463304,3,400.39166666666665,340.5416666666667,59.85,740.9333333333333,3,1,-0.08077649811049122,125.66666666666667,1.0986122886681096,8.803429378243244,8.173826075683298
2024-04-19,2:20:41 PM EDT,206,0,-0.576016270323008,-0.8174382278332544,12,4,1,0.25,0.2788482020100308,3,270.48333333333335,333.2638113611542,10.666666666666666,740.9333333333333,4,1,0.10398472039083424,145.75,1.0397207708399179,9.388515006411138,4.344818412233782
2024-04-19,2:32:34 PM EDT,106,0,-0.6176079872278863,-0.786486092764722,12,5,1,0.2,0.343813271192268,3,205.83333333333334,309.57623208544646,10.666666666666666,740.9333333333333,5,1,0.2012824474218287,137.8,0.9502705392332347,9.962956022889431,1.7748359663799704
